ANO;MÊS;LABORATORIO;PROCEDIMENTO;QTDE EXAMES;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;DOSAGEM DE PROTEINA S (LIVRE);1;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;DOSAGEM DE PROTEINA S (TOTAL);33;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;FIBRINOGENIO;151;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;PESQUISA DA MUTACAO DO GENE DA PROTROMBINA;13;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;PESQUISA DA MUTACAO FATOR V LEIDEN;16;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;PESQUISA DE INIBIDOR DO FATOR IX DA COAGULACAO;5;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;PESQUISA DE INIBIDOR DO FATOR VIII DA COAGULACAO;38;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;QUANTIFICACAO DE DIMEROS 'D' DE FIBRINA;131;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;QUANTIFICACAO DE INIBIDOR DO FATOR VIII DA COAGULACAO;8;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;QUANTIFICACAO DO ANTIGENO DO FATOR DE VON WILLEBRAND;24;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;TESTE DE AGREGACAO PLAQUETARIA;1;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;TESTE HEXAGONAL (PESQ. ANTICOAG. LUPICO HEXAGONAL);34;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;TP (TEMPO DE PROTROMBINA);4841;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;TT (TEMPO DE TROMBINA);207;;;;;;;
2014;Janeiro;HEMATOLOGIA - HEMOSTASIA;TTPA (TEMPO TROMBOPL PARC/E ATIVADO);1817;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;AML1-ETO;2;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;BCR/ABL;8;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;CBFBETA-MYH11;1;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;CITOLOGIA DE FLUIDOS;44;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;DOENCA RESIDUAL MINIMA POR IMUNOFENOTIPAGEM;22;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;IMUNOFENOTIPAGEM (CITOMETRIA DE FLUXO);22;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;MUTACAO FLT3;1;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;PESQUISA DE HPN;10;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;PML/RARALFA;8;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;QUANTIFICACAO DE CD4/CD8;3;;;;;;;
2014;Janeiro;HEMATOLOGIA - IMUNOFENOTIPAGEM,BIOL. MOL. E OUTROS;TESTE QUALITATIVO PARA DEFICIENCIA DE G6PD;23;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;CONTAGEM DE PLAQUETAS (EM TUBO COM CITRATO DE SODIO);36;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;CONTAGEM DE RETICULOCITOS;439;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;HEMOGRAMA (CONTAGENS GLOBAIS);1506;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;HEMOGRAMA COMPLETO;10537;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;MIELOGRAMA;99;;;;;;;
2014;Janeiro;HEMATOLOGIA - ROTINA;VHS-VELOCIDADE DE HEMOSSEDIMENTACAO;1111;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;ACIDO URICO;1635;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;ALBUMINA - LIQUIDOS;25;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;ALBUMINA - SANGUE;2387;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;ALFA 1 GLICOPROTEINA ACIDA;509;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;AMILASE - LIQUIDOS;14;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;AMILASE - SANGUE;206;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;BILIRRUBINA DIRETA;3248;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;BILIRRUBINA TOTAL;3248;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;BILIRRUBINAS;0;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CALCIO IONICO;993;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CALCIO TOTAL;1747;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CAPACIDADE LATENTE DE FIXACAO DE FERRO (U.I.B.C);760;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CK-MB - CREATINE PHOSPHOKINASE FRACAO 2;5;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CLORO - LIQUOR;79;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CLORO - SANGUE;132;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;COLESTEROL TOTAL;3642;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CPK - CREATINA QUINASE;1168;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CREATININA;8970;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;CREATININA - LIQUIDOS;3;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;ELETROFORESE DE PROTEINA;307;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;FERRO SERICO;804;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;FOSFATASE ALCALINA;4001;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;FOSFORO INORGANICO;1583;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;GAMA GT;3671;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;GLICEMIA;5464;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;GLICOSE - LIQUIDOS;30;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;GLICOSE - LIQUOR;102;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;HDL COLESTEROL;2390;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;LDH - LACTATO DESIDROGENASE;787;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;LDH - LACTATO DESIDROGENASE - LIQUIDOS;34;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;LDL COLESTEROL;2331;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;LIPASE;73;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;POTASSIO;6725;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;PROTEINA - LIQUOR;102;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;PROTEINA C REATIVA;1946;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;PROTEINAS TOTAIS - LIQUIDOS;31;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;PROTEINAS TOTAIS - SANGUE;1208;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;SODIO;6725;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;SODIO E POTASSIO;0;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;TGO / AST - TRANSAMINASE GLUTAMICA OXALACETICA;5949;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;TGP / ALT - ALANINA AMINOTRANSFERASE;6347;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;TRIGLICERIDES;3667;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;UREIA;8655;;;;;;;
2014;Janeiro;LABORATORIO BIOQUIMICA;UREIA - LIQUIDOS;4;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;CITOLOGIA DE TZANK (IFD);1;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;IMUNOFLUORESCENCIA INDIRETA PARA PENFIGOIDE (Anti-C3);1;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;IMUNOFLUORESCENCIA INDIRETA PARA PENFIGOIDE (Anti-IgG);1;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;IMUNOFLUORESCENCIA INDIRETA SALT SPLIT;0;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;PCR CONTROLE DE EXTRACAO;15;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;PCR PARA DIAGNOSTICO DA LEISHMANIOSE TEGUMENTAR;6;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;PCR PARA DIAGNOSTICO DE HANSENIASE;6;;;;;;;
2014;Janeiro;LABORATORIO DE DERMATOLOGIA;PCR PARA DIAGNOSTICO DE MICOBACTERIOSES CUTANEAS;5;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;ACIDO VALPROICO;97;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;CARBAMAZEPINA;74;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;DIFENILHIDANTOINA;37;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;DOSAGEM DE LAMOTRIGINA;11;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;FENOBARBITAL;79;;;;;;;
2014;Janeiro;LABORATORIO DE DROGAS NEURO;VANCOMICINA;25;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;17 OHP -17 ALFA HIDROXI PROGESTERONA;64;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;ACTH - BASAL ( ADRENO CORTICO TROFICO );27;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;ACTH - TPE  ( HORMONIO ADENO CORTICO TROFICO );8;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;ANDROSTENEDIONA;96;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;CORTISOL - TPE;80;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;CORTISOL BASAL;154;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;CORTISOL SALIVAR;145;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;CORTISOL SALIVAR - TPE;57;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;DHEAS - SULFATO DE HIDRO EPIANDROSTERONA;69;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;EXAMES EXTERNOS - ALDOSTERONA;3;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;FSH ( HORMONIO FOLICULO ESTIMULANTE );124;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;GH - BASAL ( HORMONIO DE CRESCIMENTO );10;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;GH -TPE ( HORMONIO DO CRESCIMENTO );80;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;IGF-I;121;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;LH - HORMONIO LUTEINIZANTE;103;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;LH - TPE ( HORMONIO LUTEINIZANTE );4;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;OSMOLALIDADE SERICA;18;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;OSMOLALIDADE URINARIA;25;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;PESQUISA DE MACROPROLACTINA;1;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;PROLACTINA;99;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;TESTOSTERONA;430;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - IMUNOENSAIOS;VMA - ACIDO VANIL MANDELICO;1;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - METABOLOGIA;GTT - GLICEMIA;1025;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - METABOLOGIA;HEMOGLOBINA GLICOSILADA;1102;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - METABOLOGIA;INSULINA - TPE ( PROVA FUNCIONAL );7;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - METABOLOGIA;INSULINA BASAL;65;;;;;;;
2014;Janeiro;LABORATORIO DE ENDOCRINOLOGIA - METABOLOGIA;ITT - GLICEMIA;12;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;ALFA 1 ANTI-TRIPSINA;21;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;ALFA FETO PROTEINA;344;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;ALFA FETO PROTEINA CONFIRMATORIO;3;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;AMONIA SANGUINEA;24;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;CERULOPLASMINA;24;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;CITOLOGIA (LIQUIDO ASCITICO);37;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;GENE DA HEMOCROMATOSE;5;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;GENOTIPO VIRUS DA HEPATITE C;43;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;HBV DNA (MINISTERIO DA SAUDE);90;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;PH (LIQUIDO ASCITICO);11;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;PH (LIQUIDO PLEURAL);7;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;RNA HCV QUANTITATIVO;255;;;;;;;
2014;Janeiro;LABORATORIO DE GASTROENTEROLOGIA;SUDAM III;16;;;;;;;
2014;Janeiro;LABORATORIO DE GENETICA;CARIOTIPO COM BANDAMENTO G (C,NOR,G11);46;;;;;;;
2014;Janeiro;LABORATORIO DE GENETICA;"CARIOTIPO PARA PESQUISA DE ""X"" FRAGIL";1;;;;;;;
2014;Janeiro;LABORATORIO DE GENETICA;EXCLUSAO DE MOSAICISMO CROMOSSOMICO;15;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;ACIDO FOLICO SERICO;366;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;BETA 2 MICROGLOBULINA;38;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;BHCG SANGUINEO - DOSAGEM DE BHCG;199;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;CA 125;111;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;CA 19-9;80;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;CAPACITACAO ESPERMATICA;27;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;CEA - ANTIGENO CARCINO EMBRINOGENIO;212;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;DOSAGEM DE ESTRADIOL;204;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;DOSAGEM DE PROGESTERONA;125;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;DOSAGEM DE PROLACTINA;129;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;ESPERMOGRAMA;58;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;FERRITINA;720;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;FSH - DOS HORMONIO FOLICULO ESTIMULANTE;116;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;HCG VISUAL - SANGUE/URINA;2;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;LH - DOSAGEM HORMONIO LUTEINIZANTE;33;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;PESQUISA DE MACROPROLACTINA;11;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;PSA  - PESQUISA ANTIGENO PROSTATICO;519;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;PSA LIVRE;152;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;TESTE DE LH-RH;4;;;;;;;
2014;Janeiro;LABORATORIO DE GINECOLOGIA E OBSTETRICIA;VITAMINA B-12;446;;;;;;;
2014;Janeiro;LABORATORIO DE HLA;AUTO CROSS MATCH;1;;;;;;;
2014;Janeiro;LABORATORIO DE HLA;CROSS MATCH;6;;;;;;;
2014;Janeiro;LABORATORIO DE HLA;HLA - A/B/DR;58;;;;;;;
2014;Janeiro;LABORATORIO DE HLA;PRA - REATIVIDADE CONTRA PAINEL;11;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANA - ANTICORPOS ANTI-NUCLEARES (FAN);393;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANALISE DO LIQUIDO SINOVIAL;1;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANCA - ANTICORPO ANTI-CITOPLASMA NEUTROFILO;27;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI DNA NATIVO;136;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI SCL-70;39;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI SS-A (RO);88;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI SS-B (LA);41;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI-BETA 2 GLICOPROTEINA I IGG;174;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI-BETA 2 GLICOPROTEINA I IGM;174;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI-LKM1;29;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI-MITOCONDRIA;19;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTI-MUSCULO LISO;21;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTICARDIOLIPINA IGG;88;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTICARDIOLIPINA IGM;88;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;ANTICORPO ANTINUCLEARES IFI (HEP2);280;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE ALBUMINA (LIQUOR);5;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE ALBUMINA (SANGUE);16;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE C3/C4;330;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE IMUNOGLOBULINAS - IGA (SANGUE);92;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE IMUNOGLOBULINAS - IGG (LIQUOR);5;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE IMUNOGLOBULINAS - IGG (SANGUE);103;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE IMUNOGLOBULINAS - IGM (SANGUE);89;;;;;;;
2014;Janeiro;LABORATORIO DE IMUNOLOGIA CLÍNICA;DOSAGEM DE INIBIDOR DE C1 ESTERASE;9;;;;;;;
